datasource,week,vx_manufacturer,dose,birth_cohort,N
TEST,20191230,J&J,2,<1940,0
TEST,20191230,J&J,2,1940-1949,0
TEST,20191230,J&J,2,all_birth_cohorts,0
TEST,20191230,UKN,1,1960-1969,0
TEST,20191230,UKN,1,1980-1989,0
TEST,20191230,UKN,1,1970-1979,0
TEST,20191230,UKN,1,1990+,0
TEST,20191230,UKN,1,1950-1959,0
TEST,20191230,UKN,1,<1940,0
TEST,20191230,UKN,1,1940-1949,0
TEST,20191230,UKN,1,all_birth_cohorts,0
TEST,20191230,UKN,2,1960-1969,0
TEST,20191230,UKN,2,1980-1989,0
TEST,20191230,UKN,2,1970-1979,0
TEST,20191230,UKN,2,1990+,0
TEST,20191230,UKN,2,1950-1959,0
TEST,20191230,UKN,2,<1940,0
TEST,20191230,UKN,2,1940-1949,0
TEST,20191230,UKN,2,all_birth_cohorts,0
TEST,20200106,Pfizer,1,1960-1969,0
TEST,20200106,Pfizer,1,1980-1989,0
TEST,20200106,Pfizer,1,1970-1979,0
TEST,20200106,Pfizer,1,1990+,0
TEST,20200106,Pfizer,1,1950-1959,0
TEST,20200106,Pfizer,1,<1940,0
TEST,20200106,Pfizer,1,1940-1949,0
TEST,20200106,Pfizer,1,all_birth_cohorts,0
TEST,20200106,Pfizer,2,1960-1969,0
TEST,20200106,Pfizer,2,1980-1989,0
TEST,20200106,Pfizer,2,1970-1979,0
TEST,20200106,Pfizer,2,1990+,0
TEST,20200106,Pfizer,2,1950-1959,0
TEST,20200106,Pfizer,2,<1940,0
TEST,20200106,Pfizer,2,1940-1949,0
TEST,20200106,Pfizer,2,all_birth_cohorts,0
TEST,20200106,AstraZeneca,1,1960-1969,0
TEST,20200106,AstraZeneca,1,1980-1989,0
TEST,20200106,AstraZeneca,1,1970-1979,0
TEST,20200106,AstraZeneca,1,1990+,0
TEST,20200106,AstraZeneca,1,1950-1959,0
TEST,20200106,AstraZeneca,1,<1940,0
TEST,20200106,AstraZeneca,1,1940-1949,0
TEST,20200106,AstraZeneca,1,all_birth_cohorts,0
TEST,20200106,AstraZeneca,2,1960-1969,0
TEST,20200106,AstraZeneca,2,1980-1989,0
TEST,20200106,AstraZeneca,2,1970-1979,0
TEST,20200106,AstraZeneca,2,1990+,0
TEST,20200106,AstraZeneca,2,1950-1959,0
TEST,20200106,AstraZeneca,2,<1940,0
TEST,20200106,AstraZeneca,2,1940-1949,0
TEST,20200106,AstraZeneca,2,all_birth_cohorts,0
TEST,20200106,Moderna,1,1960-1969,0
TEST,20200106,Moderna,1,1980-1989,0
TEST,20200106,Moderna,1,1970-1979,0
TEST,20200106,Moderna,1,1990+,0
TEST,20200106,Moderna,1,1950-1959,0
TEST,20200106,Moderna,1,<1940,0
TEST,20200106,Moderna,1,1940-1949,0
TEST,20200106,Moderna,1,all_birth_cohorts,0
TEST,20200106,Moderna,2,1960-1969,0
TEST,20200106,Moderna,2,1980-1989,0
TEST,20200106,Moderna,2,1970-1979,0
TEST,20200106,Moderna,2,1990+,0
TEST,20200106,Moderna,2,1950-1959,0
TEST,20200106,Moderna,2,<1940,0
TEST,20200106,Moderna,2,1940-1949,0
TEST,20200106,Moderna,2,all_birth_cohorts,0
TEST,20200106,J&J,1,1960-1969,0
TEST,20200106,J&J,1,1980-1989,0
TEST,20200106,J&J,1,1970-1979,0
TEST,20200106,J&J,1,1990+,0
TEST,20200106,J&J,1,1950-1959,0
TEST,20200106,J&J,1,<1940,0
TEST,20200106,J&J,1,1940-1949,0
TEST,20200106,J&J,1,all_birth_cohorts,0
TEST,20200106,J&J,2,1960-1969,0
TEST,20200106,J&J,2,1980-1989,0
TEST,20200106,J&J,2,1970-1979,0
TEST,20200106,J&J,2,1990+,0
TEST,20200106,J&J,2,1950-1959,0
TEST,20200106,J&J,2,<1940,0
TEST,20200106,J&J,2,1940-1949,0
TEST,20200106,J&J,2,all_birth_cohorts,0
TEST,20200106,UKN,1,1960-1969,0
TEST,20200106,UKN,1,1980-1989,0
TEST,20200106,UKN,1,1970-1979,0
TEST,20200106,UKN,1,1990+,0
TEST,20200106,UKN,1,1950-1959,0
TEST,20200106,UKN,1,<1940,0
TEST,20200106,UKN,1,1940-1949,0
TEST,20200106,UKN,1,all_birth_cohorts,0
TEST,20200106,UKN,2,1960-1969,0
TEST,20200106,UKN,2,1980-1989,0
TEST,20200106,UKN,2,1970-1979,0
TEST,20200106,UKN,2,1990+,0
TEST,20200106,UKN,2,1950-1959,0
TEST,20200106,UKN,2,<1940,0
TEST,20200106,UKN,2,1940-1949,0
TEST,20200106,UKN,2,all_birth_cohorts,0
TEST,20200113,Pfizer,1,1960-1969,0
TEST,20200113,Pfizer,1,1980-1989,0
TEST,20200113,Pfizer,1,1970-1979,0
TEST,20200113,Pfizer,1,1990+,0
TEST,20200113,Pfizer,1,1950-1959,0
TEST,20200113,Pfizer,1,<1940,0
TEST,20200113,Pfizer,1,1940-1949,0
TEST,20200113,Pfizer,1,all_birth_cohorts,0
TEST,20200113,Pfizer,2,1960-1969,0
TEST,20200113,Pfizer,2,1980-1989,0
TEST,20200113,Pfizer,2,1970-1979,0
TEST,20200113,Pfizer,2,1990+,0
TEST,20200113,Pfizer,2,1950-1959,0
TEST,20200113,Pfizer,2,<1940,0
TEST,20200113,Pfizer,2,1940-1949,0
TEST,20200113,Pfizer,2,all_birth_cohorts,0
TEST,20200113,AstraZeneca,1,1960-1969,0
TEST,20200113,AstraZeneca,1,1980-1989,0
TEST,20200113,AstraZeneca,1,1970-1979,0
TEST,20200113,AstraZeneca,1,1990+,0
TEST,20200113,AstraZeneca,1,1950-1959,0
TEST,20200113,AstraZeneca,1,<1940,0
TEST,20200113,AstraZeneca,1,1940-1949,0
TEST,20200113,AstraZeneca,1,all_birth_cohorts,0
TEST,20200113,AstraZeneca,2,1960-1969,0
TEST,20200113,AstraZeneca,2,1980-1989,0
TEST,20200113,AstraZeneca,2,1970-1979,0
TEST,20200113,AstraZeneca,2,1990+,0
TEST,20200113,AstraZeneca,2,1950-1959,0
TEST,20200113,AstraZeneca,2,<1940,0
TEST,20200113,AstraZeneca,2,1940-1949,0
TEST,20200113,AstraZeneca,2,all_birth_cohorts,0
TEST,20200113,Moderna,1,1960-1969,0
TEST,20200113,Moderna,1,1980-1989,0
TEST,20200113,Moderna,1,1970-1979,0
TEST,20200113,Moderna,1,1990+,0
TEST,20200113,Moderna,1,1950-1959,0
TEST,20200113,Moderna,1,<1940,0
TEST,20200113,Moderna,1,1940-1949,0
TEST,20200113,Moderna,1,all_birth_cohorts,0
TEST,20200113,Moderna,2,1960-1969,0
TEST,20200113,Moderna,2,1980-1989,0
TEST,20200113,Moderna,2,1970-1979,0
TEST,20200113,Moderna,2,1990+,0
TEST,20200113,Moderna,2,1950-1959,0
TEST,20200113,Moderna,2,<1940,0
TEST,20200113,Moderna,2,1940-1949,0
TEST,20200113,Moderna,2,all_birth_cohorts,0
TEST,20200113,J&J,1,1960-1969,0
TEST,20200113,J&J,1,1980-1989,0
TEST,20200113,J&J,1,1970-1979,0
TEST,20200113,J&J,1,1990+,0
TEST,20200113,J&J,1,1950-1959,0
TEST,20200113,J&J,1,<1940,0
TEST,20200113,J&J,1,1940-1949,0
TEST,20200113,J&J,1,all_birth_cohorts,0
TEST,20200113,J&J,2,1960-1969,0
TEST,20200113,J&J,2,1980-1989,0
TEST,20200113,J&J,2,1970-1979,0
TEST,20200113,J&J,2,1990+,0
TEST,20200113,J&J,2,1950-1959,0
TEST,20200113,J&J,2,<1940,0
TEST,20200113,J&J,2,1940-1949,0
TEST,20200113,J&J,2,all_birth_cohorts,0
TEST,20200113,UKN,1,1960-1969,0
TEST,20200113,UKN,1,1980-1989,0
TEST,20200113,UKN,1,1970-1979,0
TEST,20200113,UKN,1,1990+,0
TEST,20200113,UKN,1,1950-1959,0
TEST,20200113,UKN,1,<1940,0
TEST,20200113,UKN,1,1940-1949,0
TEST,20200113,UKN,1,all_birth_cohorts,0
TEST,20200113,UKN,2,1960-1969,0
TEST,20200113,UKN,2,1980-1989,0
TEST,20200113,UKN,2,1970-1979,0
TEST,20200113,UKN,2,1990+,0
TEST,20200113,UKN,2,1950-1959,0
TEST,20200113,UKN,2,<1940,0
TEST,20200113,UKN,2,1940-1949,0
TEST,20200113,UKN,2,all_birth_cohorts,0
TEST,20200120,Pfizer,1,1960-1969,0
TEST,20200120,Pfizer,1,1980-1989,0
TEST,20200120,Pfizer,1,1970-1979,0
TEST,20200120,Pfizer,1,1990+,0
TEST,20200120,Pfizer,1,1950-1959,0
TEST,20200120,Pfizer,1,<1940,0
TEST,20200120,Pfizer,1,1940-1949,0
TEST,20200120,Pfizer,1,all_birth_cohorts,0
TEST,20200120,Pfizer,2,1960-1969,0
TEST,20200120,Pfizer,2,1980-1989,0
TEST,20200120,Pfizer,2,1970-1979,0
TEST,20200120,Pfizer,2,1990+,0
TEST,20200120,Pfizer,2,1950-1959,0
TEST,20200120,Pfizer,2,<1940,0
TEST,20200120,Pfizer,2,1940-1949,0
TEST,20200120,Pfizer,2,all_birth_cohorts,0
TEST,20200120,AstraZeneca,1,1960-1969,0
TEST,20200120,AstraZeneca,1,1980-1989,0
TEST,20200120,AstraZeneca,1,1970-1979,0
TEST,20200120,AstraZeneca,1,1990+,0
TEST,20200120,AstraZeneca,1,1950-1959,0
TEST,20200120,AstraZeneca,1,<1940,0
TEST,20200120,AstraZeneca,1,1940-1949,0
TEST,20200120,AstraZeneca,1,all_birth_cohorts,0
TEST,20200120,AstraZeneca,2,1960-1969,0
TEST,20200120,AstraZeneca,2,1980-1989,0
TEST,20200120,AstraZeneca,2,1970-1979,0
TEST,20200120,AstraZeneca,2,1990+,0
TEST,20200120,AstraZeneca,2,1950-1959,0
TEST,20200120,AstraZeneca,2,<1940,0
TEST,20200120,AstraZeneca,2,1940-1949,0
TEST,20200120,AstraZeneca,2,all_birth_cohorts,0
TEST,20200120,Moderna,1,1960-1969,0
TEST,20200120,Moderna,1,1980-1989,0
TEST,20200120,Moderna,1,1970-1979,0
TEST,20200120,Moderna,1,1990+,0
TEST,20200120,Moderna,1,1950-1959,0
TEST,20200120,Moderna,1,<1940,0
TEST,20200120,Moderna,1,1940-1949,0
TEST,20200120,Moderna,1,all_birth_cohorts,0
TEST,20200120,Moderna,2,1960-1969,0
TEST,20200120,Moderna,2,1980-1989,0
TEST,20200120,Moderna,2,1970-1979,0
TEST,20200120,Moderna,2,1990+,0
TEST,20200120,Moderna,2,1950-1959,0
TEST,20200120,Moderna,2,<1940,0
TEST,20200120,Moderna,2,1940-1949,0
TEST,20200120,Moderna,2,all_birth_cohorts,0
TEST,20200120,J&J,1,1960-1969,0
TEST,20200120,J&J,1,1980-1989,0
TEST,20200120,J&J,1,1970-1979,0
TEST,20200120,J&J,1,1990+,0
TEST,20200120,J&J,1,1950-1959,0
TEST,20200120,J&J,1,<1940,0
TEST,20200120,J&J,1,1940-1949,0
TEST,20200120,J&J,1,all_birth_cohorts,0
TEST,20200120,J&J,2,1960-1969,0
TEST,20200120,J&J,2,1980-1989,0
TEST,20200120,J&J,2,1970-1979,0
TEST,20200120,J&J,2,1990+,0
TEST,20200120,J&J,2,1950-1959,0
TEST,20200120,J&J,2,<1940,0
TEST,20200120,J&J,2,1940-1949,0
TEST,20200120,J&J,2,all_birth_cohorts,0
TEST,20200120,UKN,1,1960-1969,0
TEST,20200120,UKN,1,1980-1989,0
TEST,20200120,UKN,1,1970-1979,0
TEST,20200120,UKN,1,1990+,0
TEST,20200120,UKN,1,1950-1959,0
TEST,20200120,UKN,1,<1940,0
TEST,20200120,UKN,1,1940-1949,0
TEST,20200120,UKN,1,all_birth_cohorts,0
TEST,20200120,UKN,2,1960-1969,0
TEST,20200120,UKN,2,1980-1989,0
TEST,20200120,UKN,2,1970-1979,0
TEST,20200120,UKN,2,1990+,0
TEST,20200120,UKN,2,1950-1959,0
TEST,20200120,UKN,2,<1940,0
TEST,20200120,UKN,2,1940-1949,0
TEST,20200120,UKN,2,all_birth_cohorts,0
TEST,20200127,Pfizer,1,1960-1969,0
TEST,20200127,Pfizer,1,1980-1989,0
TEST,20200127,Pfizer,1,1970-1979,0
TEST,20200127,Pfizer,1,1990+,0
TEST,20200127,Pfizer,1,1950-1959,0
TEST,20200127,Pfizer,1,<1940,0
TEST,20200127,Pfizer,1,1940-1949,0
TEST,20200127,Pfizer,1,all_birth_cohorts,0
TEST,20200127,Pfizer,2,1960-1969,0
TEST,20200127,Pfizer,2,1980-1989,0
TEST,20200127,Pfizer,2,1970-1979,0
TEST,20200127,Pfizer,2,1990+,0
TEST,20200127,Pfizer,2,1950-1959,0
TEST,20200127,Pfizer,2,<1940,0
TEST,20200127,Pfizer,2,1940-1949,0
TEST,20200127,Pfizer,2,all_birth_cohorts,0
TEST,20200127,AstraZeneca,1,1960-1969,0
TEST,20200127,AstraZeneca,1,1980-1989,0
TEST,20200127,AstraZeneca,1,1970-1979,0
TEST,20200127,AstraZeneca,1,1990+,0
TEST,20200127,AstraZeneca,1,1950-1959,0
TEST,20200127,AstraZeneca,1,<1940,0
TEST,20200127,AstraZeneca,1,1940-1949,0
TEST,20200127,AstraZeneca,1,all_birth_cohorts,0
TEST,20200127,AstraZeneca,2,1960-1969,0
TEST,20200127,AstraZeneca,2,1980-1989,0
TEST,20200127,AstraZeneca,2,1970-1979,0
TEST,20200127,AstraZeneca,2,1990+,0
TEST,20200127,AstraZeneca,2,1950-1959,0
TEST,20200127,AstraZeneca,2,<1940,0
TEST,20200127,AstraZeneca,2,1940-1949,0
TEST,20200127,AstraZeneca,2,all_birth_cohorts,0
TEST,20200127,Moderna,1,1960-1969,0
TEST,20200127,Moderna,1,1980-1989,0
TEST,20200127,Moderna,1,1970-1979,0
TEST,20200127,Moderna,1,1990+,0
TEST,20200127,Moderna,1,1950-1959,0
TEST,20200127,Moderna,1,<1940,0
TEST,20200127,Moderna,1,1940-1949,0
TEST,20200127,Moderna,1,all_birth_cohorts,0
TEST,20200127,Moderna,2,1960-1969,0
TEST,20200127,Moderna,2,1980-1989,0
TEST,20200127,Moderna,2,1970-1979,0
TEST,20200127,Moderna,2,1990+,0
TEST,20200127,Moderna,2,1950-1959,0
TEST,20200127,Moderna,2,<1940,0
TEST,20200127,Moderna,2,1940-1949,0
TEST,20200127,Moderna,2,all_birth_cohorts,0
TEST,20200127,J&J,1,1960-1969,0
TEST,20200127,J&J,1,1980-1989,0
TEST,20200127,J&J,1,1970-1979,0
TEST,20200127,J&J,1,1990+,0
TEST,20200127,J&J,1,1950-1959,0
TEST,20200127,J&J,1,<1940,0
TEST,20200127,J&J,1,1940-1949,0
TEST,20200127,J&J,1,all_birth_cohorts,0
TEST,20200127,J&J,2,1960-1969,0
TEST,20200127,J&J,2,1980-1989,0
TEST,20200127,J&J,2,1970-1979,0
TEST,20200127,J&J,2,1990+,0
TEST,20200127,J&J,2,1950-1959,0
TEST,20200127,J&J,2,<1940,0
TEST,20200127,J&J,2,1940-1949,0
TEST,20200127,J&J,2,all_birth_cohorts,0
TEST,20200127,UKN,1,1960-1969,0
TEST,20200127,UKN,1,1980-1989,0
TEST,20200127,UKN,1,1970-1979,0
TEST,20200127,UKN,1,1990+,0
TEST,20200127,UKN,1,1950-1959,0
TEST,20200127,UKN,1,<1940,0
TEST,20200127,UKN,1,1940-1949,0
TEST,20200127,UKN,1,all_birth_cohorts,0
TEST,20200127,UKN,2,1960-1969,0
TEST,20200127,UKN,2,1980-1989,0
TEST,20200127,UKN,2,1970-1979,0
TEST,20200127,UKN,2,1990+,0
TEST,20200127,UKN,2,1950-1959,0
TEST,20200127,UKN,2,<1940,0
TEST,20200127,UKN,2,1940-1949,0
TEST,20200127,UKN,2,all_birth_cohorts,0
TEST,20200203,Pfizer,1,1960-1969,0
TEST,20200203,Pfizer,1,1980-1989,0
TEST,20200203,Pfizer,1,1970-1979,0
TEST,20200203,Pfizer,1,1990+,0
TEST,20200203,Pfizer,1,1950-1959,0
TEST,20200203,Pfizer,1,<1940,0
TEST,20200203,Pfizer,1,1940-1949,0
TEST,20200203,Pfizer,1,all_birth_cohorts,0
TEST,20200203,Pfizer,2,1960-1969,0
TEST,20200203,Pfizer,2,1980-1989,0
TEST,20200203,Pfizer,2,1970-1979,0
TEST,20200203,Pfizer,2,1990+,0
TEST,20200203,Pfizer,2,1950-1959,0
TEST,20200203,Pfizer,2,<1940,0
TEST,20200203,Pfizer,2,1940-1949,0
TEST,20200203,Pfizer,2,all_birth_cohorts,0
TEST,20200203,AstraZeneca,1,1960-1969,0
TEST,20200203,AstraZeneca,1,1980-1989,0
TEST,20200203,AstraZeneca,1,1970-1979,0
TEST,20200203,AstraZeneca,1,1990+,0
TEST,20200203,AstraZeneca,1,1950-1959,0
TEST,20200203,AstraZeneca,1,<1940,0
TEST,20200203,AstraZeneca,1,1940-1949,0
TEST,20200203,AstraZeneca,1,all_birth_cohorts,0
TEST,20200203,AstraZeneca,2,1960-1969,0
TEST,20200203,AstraZeneca,2,1980-1989,0
TEST,20200203,AstraZeneca,2,1970-1979,0
TEST,20200203,AstraZeneca,2,1990+,0
TEST,20200203,AstraZeneca,2,1950-1959,0
TEST,20200203,AstraZeneca,2,<1940,0
TEST,20200203,AstraZeneca,2,1940-1949,0
TEST,20200203,AstraZeneca,2,all_birth_cohorts,0
TEST,20200203,Moderna,1,1960-1969,0
TEST,20200203,Moderna,1,1980-1989,0
TEST,20200203,Moderna,1,1970-1979,0
TEST,20200203,Moderna,1,1990+,0
TEST,20200203,Moderna,1,1950-1959,0
TEST,20200203,Moderna,1,<1940,0
TEST,20200203,Moderna,1,1940-1949,0
TEST,20200203,Moderna,1,all_birth_cohorts,0
TEST,20200203,Moderna,2,1960-1969,0
TEST,20200203,Moderna,2,1980-1989,0
TEST,20200203,Moderna,2,1970-1979,0
TEST,20200203,Moderna,2,1990+,0
TEST,20200203,Moderna,2,1950-1959,0
TEST,20200203,Moderna,2,<1940,0
TEST,20200203,Moderna,2,1940-1949,0
TEST,20200203,Moderna,2,all_birth_cohorts,0
TEST,20200203,J&J,1,1960-1969,0
TEST,20200203,J&J,1,1980-1989,0
TEST,20200203,J&J,1,1970-1979,0
TEST,20200203,J&J,1,1990+,0
TEST,20200203,J&J,1,1950-1959,0
TEST,20200203,J&J,1,<1940,0
TEST,20200203,J&J,1,1940-1949,0
TEST,20200203,J&J,1,all_birth_cohorts,0
TEST,20200203,J&J,2,1960-1969,0
TEST,20200203,J&J,2,1980-1989,0
TEST,20200203,J&J,2,1970-1979,0
TEST,20200203,J&J,2,1990+,0
TEST,20200203,J&J,2,1950-1959,0
TEST,20200203,J&J,2,<1940,0
TEST,20200203,J&J,2,1940-1949,0
TEST,20200203,J&J,2,all_birth_cohorts,0
TEST,20200203,UKN,1,1960-1969,0
TEST,20200203,UKN,1,1980-1989,0
TEST,20200203,UKN,1,1970-1979,0
TEST,20200203,UKN,1,1990+,0
TEST,20200203,UKN,1,1950-1959,0
TEST,20200203,UKN,1,<1940,0
TEST,20200203,UKN,1,1940-1949,0
TEST,20200203,UKN,1,all_birth_cohorts,0
TEST,20200203,UKN,2,1960-1969,0
TEST,20200203,UKN,2,1980-1989,0
TEST,20200203,UKN,2,1970-1979,0
TEST,20200203,UKN,2,1990+,0
TEST,20200203,UKN,2,1950-1959,0
TEST,20200203,UKN,2,<1940,0
TEST,20200203,UKN,2,1940-1949,0
TEST,20200203,UKN,2,all_birth_cohorts,0
TEST,20200210,Pfizer,1,1960-1969,0
TEST,20200210,Pfizer,1,1980-1989,0
TEST,20200210,Pfizer,1,1970-1979,0
TEST,20200210,Pfizer,1,1990+,0
TEST,20200210,Pfizer,1,1950-1959,0
TEST,20200210,Pfizer,1,<1940,0
TEST,20200210,Pfizer,1,1940-1949,0
TEST,20200210,Pfizer,1,all_birth_cohorts,0
TEST,20200210,Pfizer,2,1960-1969,0
TEST,20200210,Pfizer,2,1980-1989,0
TEST,20200210,Pfizer,2,1970-1979,0
TEST,20200210,Pfizer,2,1990+,0
TEST,20200210,Pfizer,2,1950-1959,0
TEST,20200210,Pfizer,2,<1940,0
TEST,20200210,Pfizer,2,1940-1949,0
TEST,20200210,Pfizer,2,all_birth_cohorts,0
TEST,20200210,AstraZeneca,1,1960-1969,0
TEST,20200210,AstraZeneca,1,1980-1989,0
TEST,20200210,AstraZeneca,1,1970-1979,0
TEST,20200210,AstraZeneca,1,1990+,0
TEST,20200210,AstraZeneca,1,1950-1959,0
TEST,20200210,AstraZeneca,1,<1940,0
TEST,20200210,AstraZeneca,1,1940-1949,0
TEST,20200210,AstraZeneca,1,all_birth_cohorts,0
TEST,20200210,AstraZeneca,2,1960-1969,0
TEST,20200210,AstraZeneca,2,1980-1989,0
TEST,20200210,AstraZeneca,2,1970-1979,0
TEST,20200210,AstraZeneca,2,1990+,0
TEST,20200210,AstraZeneca,2,1950-1959,0
TEST,20200210,AstraZeneca,2,<1940,0
TEST,20200210,AstraZeneca,2,1940-1949,0
TEST,20200210,AstraZeneca,2,all_birth_cohorts,0
TEST,20200210,Moderna,1,1960-1969,0
TEST,20200210,Moderna,1,1980-1989,0
TEST,20200210,Moderna,1,1970-1979,0
TEST,20200210,Moderna,1,1990+,0
TEST,20200210,Moderna,1,1950-1959,0
TEST,20200210,Moderna,1,<1940,0
TEST,20200210,Moderna,1,1940-1949,0
TEST,20200210,Moderna,1,all_birth_cohorts,0
TEST,20200210,Moderna,2,1960-1969,0
TEST,20200210,Moderna,2,1980-1989,0
TEST,20200210,Moderna,2,1970-1979,0
TEST,20200210,Moderna,2,1990+,0
TEST,20200210,Moderna,2,1950-1959,0
TEST,20200210,Moderna,2,<1940,0
TEST,20200210,Moderna,2,1940-1949,0
TEST,20200210,Moderna,2,all_birth_cohorts,0
TEST,20200210,J&J,1,1960-1969,0
TEST,20200210,J&J,1,1980-1989,0
TEST,20200210,J&J,1,1970-1979,0
TEST,20200210,J&J,1,1990+,0
TEST,20200210,J&J,1,1950-1959,0
TEST,20200210,J&J,1,<1940,0
TEST,20200210,J&J,1,1940-1949,0
TEST,20200210,J&J,1,all_birth_cohorts,0
TEST,20200210,J&J,2,1960-1969,0
TEST,20200210,J&J,2,1980-1989,0
TEST,20200210,J&J,2,1970-1979,0
TEST,20200210,J&J,2,1990+,0
TEST,20200210,J&J,2,1950-1959,0
TEST,20200210,J&J,2,<1940,0
TEST,20200210,J&J,2,1940-1949,0
TEST,20200210,J&J,2,all_birth_cohorts,0
TEST,20200210,UKN,1,1960-1969,0
TEST,20200210,UKN,1,1980-1989,0
TEST,20200210,UKN,1,1970-1979,0
TEST,20200210,UKN,1,1990+,0
TEST,20200210,UKN,1,1950-1959,0
TEST,20200210,UKN,1,<1940,0
TEST,20200210,UKN,1,1940-1949,0
TEST,20200210,UKN,1,all_birth_cohorts,0
TEST,20200210,UKN,2,1960-1969,0
TEST,20200210,UKN,2,1980-1989,0
TEST,20200210,UKN,2,1970-1979,0
TEST,20200210,UKN,2,1990+,0
TEST,20200210,UKN,2,1950-1959,0
TEST,20200210,UKN,2,<1940,0
TEST,20200210,UKN,2,1940-1949,0
TEST,20200210,UKN,2,all_birth_cohorts,0
TEST,20200217,Pfizer,1,1960-1969,0
TEST,20200217,Pfizer,1,1980-1989,0
TEST,20200217,Pfizer,1,1970-1979,0
TEST,20200217,Pfizer,1,1990+,0
TEST,20200217,Pfizer,1,1950-1959,0
TEST,20200217,Pfizer,1,<1940,0
TEST,20200217,Pfizer,1,1940-1949,0
TEST,20200217,Pfizer,1,all_birth_cohorts,0
TEST,20200217,Pfizer,2,1960-1969,0
TEST,20200217,Pfizer,2,1980-1989,0
TEST,20200217,Pfizer,2,1970-1979,0
TEST,20200217,Pfizer,2,1990+,0
TEST,20200217,Pfizer,2,1950-1959,0
TEST,20200217,Pfizer,2,<1940,0
TEST,20200217,Pfizer,2,1940-1949,0
TEST,20200217,Pfizer,2,all_birth_cohorts,0
TEST,20200217,AstraZeneca,1,1960-1969,0
TEST,20200217,AstraZeneca,1,1980-1989,0
TEST,20200217,AstraZeneca,1,1970-1979,0
TEST,20200217,AstraZeneca,1,1990+,0
TEST,20200217,AstraZeneca,1,1950-1959,0
TEST,20200217,AstraZeneca,1,<1940,0
TEST,20200217,AstraZeneca,1,1940-1949,0
TEST,20200217,AstraZeneca,1,all_birth_cohorts,0
TEST,20200217,AstraZeneca,2,1960-1969,0
TEST,20200217,AstraZeneca,2,1980-1989,0
TEST,20200217,AstraZeneca,2,1970-1979,0
TEST,20200217,AstraZeneca,2,1990+,0
TEST,20200217,AstraZeneca,2,1950-1959,0
TEST,20200217,AstraZeneca,2,<1940,0
TEST,20200217,AstraZeneca,2,1940-1949,0
TEST,20200217,AstraZeneca,2,all_birth_cohorts,0
TEST,20200217,Moderna,1,1960-1969,0
